Local Date/Time	Relative Time	pump-b:pressure [bar]
06/15/2022 13:28:22	00:05:20.963	0.670
06/15/2022 13:28:23	00:05:22.462	0.670
06/15/2022 13:28:24	00:05:22.462	0.670
06/15/2022 13:28:24	00:05:22.485	0.809
06/15/2022 13:28:24	00:05:22.889	0.690
06/15/2022 13:28:25	00:05:24.462	0.690
06/15/2022 13:28:26	00:05:24.462	0.690
06/15/2022 13:28:26	00:05:24.919	0.809
06/15/2022 13:28:27	00:05:26.464	0.809
06/15/2022 13:28:28	00:05:26.464	0.809
06/15/2022 13:28:28	00:05:26.645	0.670
06/15/2022 13:28:28	00:05:27.153	0.789
06/15/2022 13:28:29	00:05:27.865	0.670
06/15/2022 13:28:29	00:05:28.270	0.809
06/15/2022 13:28:30	00:05:28.671	0.651
06/15/2022 13:28:31	00:05:30.395	0.789
06/15/2022 13:28:32	00:05:30.803	0.670
06/15/2022 13:28:32	00:05:31.411	0.552
06/15/2022 13:28:33	00:05:31.715	0.710
06/15/2022 13:28:34	00:05:33.494	0.710
06/15/2022 13:28:35	00:05:34.508	0.710
06/15/2022 13:28:36	00:05:35.514	0.710
06/15/2022 13:28:37	00:05:36.510	0.710
06/15/2022 13:28:38	00:05:37.509	0.710
06/15/2022 13:28:39	00:05:38.511	0.710
06/15/2022 13:28:40	00:05:39.524	0.710
06/15/2022 13:28:41	00:05:39.524	0.710
06/15/2022 13:28:41	00:05:40.447	0.592
06/15/2022 13:28:42	00:05:41.526	0.592
06/15/2022 13:28:43	00:05:41.526	0.592
06/15/2022 13:28:43	00:05:41.763	0.749
06/15/2022 13:28:44	00:05:43.542	0.749
06/15/2022 13:28:45	00:05:44.543	0.749
06/15/2022 13:28:46	00:05:45.544	0.749
06/15/2022 13:28:47	00:05:46.556	0.749
06/15/2022 13:28:48	00:05:47.558	0.749
06/15/2022 13:28:49	00:05:48.556	0.749
06/15/2022 13:28:50	00:05:49.557	0.749
06/15/2022 13:28:51	00:05:49.557	0.749
06/15/2022 13:28:51	00:05:49.771	0.868
06/15/2022 13:28:51	00:05:50.077	0.690
06/15/2022 13:28:52	00:05:51.558	0.690
06/15/2022 13:28:53	00:05:52.571	0.690
06/15/2022 13:28:54	00:05:52.571	0.690
06/15/2022 13:28:54	00:05:52.611	0.809
06/15/2022 13:28:54	00:05:53.021	0.690
06/15/2022 13:28:55	00:05:54.573	0.690
06/15/2022 13:28:56	00:05:55.573	0.690
06/15/2022 13:28:57	00:05:56.591	0.690
06/15/2022 13:28:58	00:05:57.592	0.690
06/15/2022 13:28:59	00:05:58.591	0.690
06/15/2022 13:29:00	00:05:59.591	0.690
06/15/2022 13:29:01	00:06:00.604	0.690
06/15/2022 13:29:02	00:06:01.603	0.690
06/15/2022 13:29:03	00:06:01.603	0.690
06/15/2022 13:29:03	00:06:02.457	0.848
06/15/2022 13:29:04	00:06:02.763	0.690
06/15/2022 13:29:05	00:06:03.877	0.809
06/15/2022 13:29:05	00:06:04.284	0.670
06/15/2022 13:29:06	00:06:04.686	0.828
06/15/2022 13:29:06	00:06:05.297	0.710
06/15/2022 13:29:07	00:06:06.635	0.710
06/15/2022 13:29:08	00:06:07.636	0.710
06/15/2022 13:29:09	00:06:08.637	0.710
06/15/2022 13:29:10	00:06:09.650	0.710
06/15/2022 13:29:11	00:06:10.666	0.710
06/15/2022 13:29:12	00:06:11.666	0.710
06/15/2022 13:29:13	00:06:11.666	0.710
06/15/2022 13:29:13	00:06:12.592	0.848
06/15/2022 13:29:14	00:06:12.892	0.730
06/15/2022 13:29:15	00:06:14.667	0.730
06/15/2022 13:29:16	00:06:15.670	0.730
06/15/2022 13:29:17	00:06:15.670	0.730
06/15/2022 13:29:17	00:06:15.944	0.611
06/15/2022 13:29:17	00:06:16.148	0.749
06/15/2022 13:29:18	00:06:17.162	0.592
06/15/2022 13:29:19	00:06:18.280	0.710
